Symbol
SPY
GLD
TLT
IEF
UNG
UUP
USO
XLC
XLY
XLP
XLE
XLV
XLI
XLB
XLRE
XLK
XLU
XLF
FXI
SMH
XOP
XBI
GDX
MUB
PFF
HYG
OIH
COPX
SIL
IYT
ITB
ITA
XRT
XHB
IHI
KRE
KIE
IGV
REM
ICLN
BITO
IJR
MDY
IWM
QQQ
